car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,longitude,latitude,nearest_charger_distance_m,nearest_charger_idx,gap_category,index_right,area_name,priority_score,area_gap_rate,road_distance_m,nearest_charger_road_idx,road_path_coords
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y,103.85411804993062,1.3010632720874966,0.006349524671237029,1898,Excellent,16,Zone 17,1.43,0.0,,,
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N,103.88506094761496,1.3210042901059609,0.0053981578026199885,2256,Excellent,17,Zone 18,7.14,0.0,,,
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.84461988914568,1.328283495109407,0.00132147914332094,1769,Excellent,17,Zone 18,0.0,0.0,,,
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0.0,N,103.83498485034055,1.36909121614356,55.27886378011542,1512,Excellent,12,Zone 13,2.81,0.0,,,
AK31,BLK 302/348 ANG MO KIO STREET 31,29482.029,38684.1754,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,103.84663563161574,1.3661204243173295,169.19357089406782,62,Good,17,Zone 18,8.61,0.0,383.4,1511.0,"[(1.3674108, 103.8448027), (1.3673652, 103.8447713), (1.3673951, 103.844728), (1.3674357, 103.8447552), (1.3688196, 103.8453691), (1.3690278, 103.845492), (1.3691478, 103.8455521), (1.3691409, 103.8456547), (1.3690926, 103.8459755), (1.3689874, 103.8468064), (1.368864, 103.8467876)]"
AK52,BLK 513 ANG MO KIO STREET 53,29889.3457,39382.8134,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.0,N,103.85029569742481,1.3724386334422467,112.92652809991837,1812,Good,17,Zone 18,5.75,0.0,,,
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0.0,N,103.8483680866534,1.3835990576551445,363.0344004877253,1648,Moderate Gap,18,Zone 19,18.48,0.0,454.3,580.0,"[(1.3837854, 103.8478348), (1.3838598, 103.8478649), (1.3876377, 103.8480855), (1.3877059, 103.8480761), (1.3876929, 103.8481719)]"
AM14,BLK 227 ANG MO KIO STREET 23,28777.0707,38973.9528,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,103.84030110265202,1.3687410945550118,0.0006722704998192838,61,Excellent,17,Zone 18,8.57,0.0,,,
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,103.83571828515677,1.3703498012136124,0.0016530957618132531,2230,Excellent,12,Zone 13,2.86,0.0,,,
AM18,BLK 308C ANG MO KIO AVENUE 1,29257.6457,38619.9953,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N,103.84461939021914,1.3655400127862634,187.98262796476462,62,Good,17,Zone 18,13.85,0.0,554.5,143.0,"[(1.3647946, 103.8434947), (1.3641975, 103.8433625), (1.3640564, 103.8433225), (1.3639848, 103.8430454), (1.3641359, 103.8431048), (1.3673951, 103.844728), (1.3674357, 103.8447552)]"
